Date,Location,Percent with one dose,state,state_po,state_fips,STATEFP,STNAME,Total population,candidatevotes,totalvotes,party_simplified,fractionalvotes,day_num
2021-06-29,AR,0.524,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,136
2021-06-28,AR,0.524,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,135
2021-06-27,AR,0.523,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,134
2021-06-26,AR,0.522,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,133
2021-06-25,AR,0.521,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,132
2021-06-24,AR,0.52,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,131
2021-06-23,AR,0.519,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,130
2021-06-22,AR,0.518,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,129
2021-06-21,AR,0.518,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,128
2021-06-20,AR,0.517,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,127
2021-06-19,AR,0.516,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,126
2021-06-18,AR,0.515,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,125
2021-06-17,AR,0.515,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,124
2021-06-16,AR,0.514,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,123
2021-06-15,AR,0.513,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,122
2021-06-14,AR,0.512,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,121
2021-06-13,AR,0.511,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,120
2021-06-12,AR,0.51,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,119
2021-06-11,AR,0.509,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,118
2021-06-10,AR,0.509,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,117
2021-06-09,AR,0.508,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,116
2021-06-08,AR,0.507,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,115
2021-06-07,AR,0.507,ARKANSAS,AR,5,5,Arkansas,3030522,760647,1219069,REPUBLICAN,0.6239572985614432,114
